Desenvolvimento Full Stack 2024,Aprenda as tecnologias mais demandadas do mercado : React Node.js Python e muito mais!,80,5.0
Programacao em Java,Aprenda programacao Java do basico ao avancado incluindo POO colecoes e APIs.,40,4.8
Python para Iniciantes,Aprenda Python desde o basico ate a analise de dados e automacao.,35,4.9
Desenvolvimento Web,HTML 5 CSS 3 e JavaScript para construcao de sites modernos e responsivos.,45,4.7
Desenvolvimento Mobile,Desenvolvimento de aplicativos moveis com React Native e Flutter.,50,4.9
null,,,null,null,
null,curso teste,descricao do teste curso,Programação,Iniciante,Frontend
null,aaaaaaaaaaaaaaaaaa,aaaaaaaaaaaaaaaaaaaaaa,Dados,Iniciante,
null,aaaaaaaaaaaaaaaaaa,aaaaaaaaaaaaaaaaaaaaaa,Dados,Iniciante,
null,tttttttttttttttttttt,ddddddddddddddddddddd,Programação,Intermediario,Frontend
null,ttttttttttttttttt,ddddddddddddddddd,Dados,Iniciante,
null,dddddddddddddddddddd,sssssssssssssss,Programação,Iniciante,
null,ssssssssss,dddddddddddd,Programação,Iniciante,
null,cccccccccccccccccccc,cccccccccccccccccccccc,Dados,Intermediario,
null,cccccccccccccccccccc,cccccccccccccccccccccc,Dados,Intermediario,
null,cccccccccccccccccccc,cccccccccccccccccccccc,Dados,Intermediario,
null,cccccccccccccccccccc,cccccccccccccccccccccc,Dados,Intermediario,
null,cccccccccccccccccccc,cccccccccccccccccccccc,Dados,Intermediario,
null,ggggggggggggggggg,ggggggggggggggggggg,Dados,Iniciante,
null,ggggggggggggggggg,ggggggggggggggggggg,Dados,Iniciante,
null,ggggggggggggggggg,ggggggggggggggggggg,Dados,Iniciante,
null,gggggggggggggggg,ggggggggggggggg,Desenvolvimento Web,Intermediario,
null,gggggggggggggggg,ggggggggggggggg,Desenvolvimento Web,Intermediario,
null,gggggggggggggggg,ggggggggggggggg,Desenvolvimento Web,Intermediario,
null,gggggggggggggggg,ggggggggggggggg,Desenvolvimento Web,Intermediario,
null,gggggggggggggggg,ggggggggggggggg,Desenvolvimento Web,Intermediario,
null,uuuuuuuuuuuuuu,jjjjjjjjjjjjjjjjjjjjjjjj,Mobile,Intermediario,
null,uuuuuuuuuuuuuu,jjjjjjjjjjjjjjjjjjjjjjjj,Mobile,Intermediario,
null,uuuuuuuuuuuuuu,jjjjjjjjjjjjjjjjjjjjjjjj,Mobile,Intermediario,
null,uuuuuuuuuuuuuu,jjjjjjjjjjjjjjjjjjjjjjjj,Mobile,Intermediario,
null,uuuuuuuuuuuuuu,jjjjjjjjjjjjjjjjjjjjjjjj,Mobile,Intermediario,
null,uuuuuuuuuuuuuu,jjjjjjjjjjjjjjjjjjjjjjjj,Mobile,Intermediario,
null,uuuuuuuuuuuuuu,jjjjjjjjjjjjjjjjjjjjjjjj,Mobile,Intermediario,
null,ccccccccccccccccc,ccccccccccccccccccccc,Cybersegurança,Iniciante,
null,hhhhhhhhhhhh,jjjjjjjjjjjjjjjjjj,Inteligência Artificial,Iniciante,
null,hhhhhhhhhhhh,jjjjjjjjjjjjjjjjjj,Inteligência Artificial,Iniciante,
null,hhhhhhhhhhhh,jjjjjjjjjjjjjjjjjj,Inteligência Artificial,Iniciante,
null,dddddddddddddddd,dddddddddddddddd,Mobile,Intermediario,
null,dddddddddddddddd,dddddddddddddddd,Mobile,Intermediario,
null,jjjjjjjjjjjj,jjjjjjjjjjjjjjjjjjjjjjjj,Inteligência Artificial,Intermediario,
null,jjjjjjjjjjjj,jjjjjjjjjjjjjjjjjjjjjjjj,Inteligência Artificial,Intermediario,
null,fffffffffffffff,fffffffffffffffffff,Inteligência Artificial,Iniciante,
null,fffffffffffffff,fffffffffffffffffff,Inteligência Artificial,Iniciante,
null,ddddddddddddddddd,gggggggggggggggggg,Programação,Iniciante,
null,ssssssssssssssss,fffffffffffffffff,Desenvolvimento Web,Iniciante,
null,fffffffffff,ffffffffffffffff,Programação,Iniciante,
null,ccccccccccccc,dddddddddddddddd,Dados,Iniciante,
null,ggggggggggggg,ggggggggggggggg,Mobile,Intermediario,
null,ggggggggggggg,ggggggggggggggg,Mobile,Intermediario,
null,gggggggggggg,rrrrrrrrrr,Inteligência Artificial,Iniciante,
null,jgggggggggggggggggg,gggggggggggggggggggg,Desenvolvimento Web,Iniciante,
null,jgggggggggggggggggg,gggggggggggggggggggg,Desenvolvimento Web,Iniciante,
null,fffffffffffffffffffffffffffff,ssssssssssssss,Mobile,Iniciante,
null,fffffffffffffffffffffffffffff,ssssssssssssss,Mobile,Iniciante,
